text_ts	s_r	num_chars	num_words	min_since_prev
2013-02-11 22:28:00	RCV	41	7	0
2013-02-11 22:30:00	SNT	176	34	2
2013-02-11 22:30:00	RCV	47	10	0
2013-02-11 22:31:00	RCV	27	5	1
2013-02-11 22:31:00	SNT	47	10	0
2013-02-11 22:32:00	RCV	73	14	1
2013-02-11 22:32:00	RCV	38	8	0
2013-02-11 22:33:00	SNT	70	13	1
2013-02-11 22:33:00	RCV	6	1	0
2013-02-11 22:33:00	RCV	10	1	0
2013-02-11 22:34:00	SNT	25	6	1
2013-02-11 22:34:00	SNT	80	12	0
2013-02-11 22:34:00	SNT	34	5	0
2013-02-11 22:35:00	RCV	30	6	1
2013-02-11 22:35:00	SNT	29	6	0
2013-02-11 22:35:00	RCV	19	4	0
2013-02-11 22:36:00	SNT	46	5	1
2013-02-11 22:36:00	SNT	16	3	0
2013-02-11 22:37:00	SNT	22	4	1
2013-02-11 22:37:00	RCV	10	2	0
2013-02-12 08:39:00	SNT	1	1	602
2013-02-12 08:45:00	RCV	127	21	6
2013-02-12 08:47:00	SNT	153	30	2
2013-02-12 08:50:00	RCV	314	53	3
2013-02-12 08:54:00	RCV	35	6	4
2013-02-12 08:54:00	RCV	64	13	0
2013-02-12 08:59:00	SNT	1	1	5
2013-02-12 08:59:00	SNT	171	29	0
2013-02-12 09:00:00	SNT	90	18	1
2013-02-12 09:12:00	RCV	285	51	12
2013-02-12 09:13:00	RCV	124	23	1
2013-02-12 09:14:00	SNT	76	15	1
2013-02-12 09:14:00	SNT	35	6	0
2013-02-12 09:14:00	RCV	52	9	0
2013-02-12 09:14:00	RCV	3	1	0
2013-02-12 09:15:00	RCV	106	21	1
2013-02-12 09:16:00	SNT	107	22	1
2013-02-12 09:17:00	RCV	53	9	1
2013-02-12 09:18:00	SNT	32	6	1
2013-02-12 09:18:00	RCV	10	2	0
2013-02-12 10:02:00	RCV	35	6	44
2013-02-12 10:02:00	SNT	82	14	0
2013-02-12 10:03:00	SNT	37	9	1
2013-02-12 10:04:00	RCV	18	4	1
2013-02-12 10:06:00	SNT	131	25	2
2013-02-12 10:08:00	RCV	32	6	2
2013-02-12 10:09:00	SNT	28	4	1
2013-02-12 10:11:00	RCV	52	13	2
2013-02-12 10:12:00	RCV	87	17	1
2013-02-12 10:13:00	SNT	41	8	1
2013-02-12 10:14:00	SNT	66	15	1
2013-02-12 10:17:00	RCV	13	2	3
2013-02-12 10:18:00	SNT	20	2	1
2013-02-12 10:18:00	RCV	38	7	0
2013-02-12 10:19:00	RCV	11	1	1
2013-02-12 10:20:00	SNT	11	2	1
2013-02-12 10:21:00	SNT	111	23	1
2013-02-12 10:22:00	SNT	91	16	1
2013-02-12 10:23:00	RCV	122	21	1
2013-02-12 10:23:00	RCV	40	7	0
2013-02-12 10:25:00	SNT	80	16	2
2013-02-12 10:25:00	RCV	38	8	0
2013-02-12 10:27:00	RCV	37	7	2
